Result Number,Widget,Data Source,Result Row,url,name,preparation,Glass
1,Bartendr - drinks,Bartendr - drinks,1,http://www.drinksmixer.com/drinkuv17048.html,10 Deep,All right start with 1/2 cup of ice mix the vodka and the coconut at the same time but leave the vodka for an extra second...then add the cran-rasb until it turns red and then add ur lime and tampico....make sure to mix it..,http://www.drinksmixer.com/glasses/26/
2,Bartendr - drinks,Bartendr - drinks,2,http://www.drinksmixer.com/drink8428.html,'61 Imperial,In a tall chimney glass or hurricane glass fill with cubed ice; add all liquor except the blue curacao. Add the pineapple juice stir well and float the blue curacao on top. Garnish with a pineapple slice and a maraschino cherry and serve.,http://www.drinksmixer.com/glasses/9/
3,Bartendr - drinks,Bartendr - drinks,3,http://www.drinksmixer.com/drink11090.html,007,Serve on ice in a highball glass.,http://www.drinksmixer.com/glasses/8/
4,Bartendr - drinks,Bartendr - drinks,4,http://www.drinksmixer.com/drink7505.html,136,Mix the rum pepsi vanilla and grenadine in a cup and serve chilled or mix the grenadine and rum in a shot glass and drop into a cup of pepsi vanilla.,http://www.drinksmixer.com/glasses/26/
5,Bartendr - drinks,Bartendr - drinks,5,http://www.drinksmixer.com/drink9993.html,.50 Caliber,Pour the Jack Daniel's Tennessee whiskey Jim Beam bourbon whiskey dry gin and Absolut vodka into a highball glass half-filled with ice cubes. Add Squirt and serve.,http://www.drinksmixer.com/glasses/8/
6,Bartendr - drinks,Bartendr - drinks,6,http://www.drinksmixer.com/drink10390.html,100 Miles per Hour,Mix all ingredients together over ice in a highball glass. Shake up then top with sprite and serve.,http://www.drinksmixer.com/glasses/8/
7,Bartendr - drinks,Bartendr - drinks,7,http://www.drinksmixer.com/drink614.html,Ice Bear,Mix vodka and Curacao. Pour in a high glass. Fill it up with soda.,http://www.drinksmixer.com/glasses/8/
8,Bartendr - drinks,Bartendr - drinks,8,http://www.drinksmixer.com/drink10320.html,Fat Frog,Get 2 pint glasses pour one half of Smirnoff Ice into one pint glass and the rest in the other glass then do the same with the orange breezer then followed by the Blue WKD. Mix and the drink should turn green. Add ice as desired and serve.,http://www.drinksmixer.com/glasses/1/
9,Bartendr - drinks,Bartendr - drinks,9,http://www.drinksmixer.com/drink2952.html,Colorado Bulldog,In a shaker mix Vodka Kahlua and milk. Pour into a rocks glass and add a splash of Coca-Cola.,http://www.drinksmixer.com/glasses/12/
10,Bartendr - drinks,Bartendr - drinks,10,http://www.drinksmixer.com/drink9773.html,Strawberry Ice,Combine all ingredients in a cocktail shaker over ice. Shake and strain into a chilled cocktail glass. Garnish with a strawberry and serve.,http://www.drinksmixer.com/glasses/4/
11,Bartendr - drinks,Bartendr - drinks,11,http://www.drinksmixer.com/drink8076.html,Tokyo Tea,Combine all ingredients in a cocktail shaker. Shake strain into a small highball glass filled with ice and serve.,http://www.drinksmixer.com/glasses/8/
12,Bartendr - drinks,Bartendr - drinks,12,http://www.drinksmixer.com/drink5814.html,Pensacola Bushwacker,Pour all ingredients into a blender (ice cream optional) with two cups of ice and blend until mixed. Serve in a hurricane glass.,http://www.drinksmixer.com/glasses/9/
13,Bartendr - drinks,Bartendr - drinks,13,http://www.drinksmixer.com/drink2268.html,Strawberry Daiquiri,Add ingredients with a bit of ice in a blender. Blend and then strain into a cocktail glass. Garnish w/ strawberry. OO.ready(function() { OO.Player.create('ooyalaplayer' '1zNGl3ODoesWavJNpf-tfgkdBxPrejpN' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/4/
14,Bartendr - drinks,Bartendr - drinks,14,http://www.drinksmixer.com/drink6172.html,Cafe Imperial,Pour coffee and liquor into an irish coffee cup and sweeten to taste. Float the cream on top and serve.,http://www.drinksmixer.com/glasses/22/
15,Bartendr - drinks,Bartendr - drinks,15,http://www.drinksmixer.com/drinkuv13781.html,Golden Screw,Build over ice in a higball glass. Stir and serve.,http://www.drinksmixer.com/glasses/8/
16,Bartendr - drinks,Bartendr - drinks,16,http://www.drinksmixer.com/drink4761.html,Laser Beam,Combine all liquors in a collins glass filled with ice. Shake well. Garnish with an orange and a cherry.,http://www.drinksmixer.com/glasses/6/
17,Bartendr - drinks,Bartendr - drinks,17,http://www.drinksmixer.com/drinkrq13354.html,Deep Freeze,Build over ice in a highball glass.,http://www.drinksmixer.com/glasses/8/
18,Bartendr - drinks,Bartendr - drinks,18,http://www.drinksmixer.com/drink11467.html,Deep Throat,Pour the Bailey's and Kahlua into a shot glass. Top with whipped cream and serve.,http://www.drinksmixer.com/glasses/18/
19,Bartendr - drinks,Bartendr - drinks,19,http://www.drinksmixer.com/drink244.html,Deep Blue,Stir vodka and blue curacao together with ice in a glass. Top with champagne and drop a blue maraschino cherry to the bottom.,http://www.drinksmixer.com/glasses/4/
20,Bartendr - drinks,Bartendr - drinks,20,http://www.drinksmixer.com/drink4886.html,Long Beach Iced Tea,In a tall glass pour shots over ice and top off with cranberry juice and lemon wedge (squeeze if you like). Give the drink a little shake (if you like) and drink up!,http://www.drinksmixer.com/glasses/6/
21,Bartendr - drinks,Bartendr - drinks,21,http://www.drinksmixer.com/drink6941.html,Flying Kangaroo,Shake well over ice cubes in a shaker and strain into a large highball glass with crushed ice. Add pineapple chunks and serve.,http://www.drinksmixer.com/glasses/8/
22,Bartendr - drinks,Bartendr - drinks,22,http://www.drinksmixer.com/drink11414.html,Cohutta Twister,Pour the Malibu vodka orange juice and cran-orange juice into a hurricane glass filled with crushed ice. Stir and serve.,http://www.drinksmixer.com/glasses/9/
23,Bartendr - drinks,Bartendr - drinks,23,http://www.drinksmixer.com/drink5702.html,Orange Surfboard,Combine liquors in a tall glass with ice cubes. Fill with orange juice and add a splash of cranberry juice. Shake to mix and serve.,http://www.drinksmixer.com/glasses/6/
24,Bartendr - drinks,Bartendr - drinks,24,http://www.drinksmixer.com/drink10526.html,Deep Dark Love,Shake all ingredients with ice and then strain into a cocktail glass. Garnish with a couple of whole coffee beans and serve.,http://www.drinksmixer.com/glasses/4/
25,Bartendr - drinks,Bartendr - drinks,25,http://www.drinksmixer.com/drink5062.html,Vesper,Shake well until ice cold strain into a deep champagne goblet. Add a thin slice of lemon-peel.,http://www.drinksmixer.com/glasses/24/
26,Bartendr - drinks,Bartendr - drinks,26,http://www.drinksmixer.com/drink3536.html,Flaming Lamborghini,Pour the sambuca and kahlua into a cocktail glass. Pour the baileys and blue curacao into two seperate shot glasses either side of the cocktail glass. Set light the concoction in the cocktail glass and start to drink through a straw (this drink should be drunk in one). As the bottom of the glass is reached put out the fire by pouring the baileys and blue curacao into the cocktail glass and keep drinking till it's all gone.,http://www.drinksmixer.com/glasses/18/
27,Bartendr - drinks,Bartendr - drinks,27,http://www.drinksmixer.com/drink3947.html,Grateful Dead #2,Fill a collins glass with ice. Add all the white alcohol. Add the sour mix. Top off the glass with razzmatazz or chambord raspberry liqueur. Then shake to mix contents. This is a fruity version of a 'Long Island Iced Tea'.,http://www.drinksmixer.com/glasses/6/
28,Bartendr - drinks,Bartendr - drinks,28,http://www.drinksmixer.com/drink1450.html,Bolduc On The Beach,Mix in glass. Serve on the rocks (optional).,http://www.drinksmixer.com/glasses/8/
29,Bartendr - drinks,Bartendr - drinks,29,http://www.drinksmixer.com/drink11849.html,Key West Cooler,Add all ingredients to a cocktail tin. Shake. Strain into a collins glass 3/4 filled with ice cubes. Garnish with a slice of orange and serve.,http://www.drinksmixer.com/glasses/6/
30,Bartendr - drinks,Bartendr - drinks,30,http://www.drinksmixer.com/drink9962.html,Corkscrew #2,Softly stir ingredients together in a highball glass filled with ice cubes and serve.,http://www.drinksmixer.com/glasses/8/
31,Bartendr - drinks,Bartendr - drinks,31,http://www.drinksmixer.com/drinkab13867.html,Happy Happy,Add ingredients to an old fashioned glass stir and serve.,http://www.drinksmixer.com/glasses/12/
32,Bartendr - drinks,Bartendr - drinks,32,http://www.drinksmixer.com/drink11094.html,2000 Flushes #2,In a shaker over ice pour equal parts of vodka and Malibu. Add a splash of pineapple juice and blue curacao (for color). Shake and strain into shot glasses and serve.,http://www.drinksmixer.com/glasses/18/
33,Bartendr - drinks,Bartendr - drinks,33,http://www.drinksmixer.com/drink2434.html,Tokyo Ice Tea,Mix the alcohol. Add sugar syrup ice and 7-up to taste. Garnish with/add pieces of lemon. Stir.,http://www.drinksmixer.com/glasses/6/
34,Bartendr - drinks,Bartendr - drinks,34,http://www.drinksmixer.com/drink2997.html,Cornwall-Nash,Pour the rum gin triple sec and grapefruit juice into a highball glass almost filled with ice cubes. Stir well. Drop the cherry brandy into the center of the drink. Garnish with the cherry.,http://www.drinksmixer.com/glasses/8/
35,Bartendr - drinks,Bartendr - drinks,35,http://www.drinksmixer.com/drink4891.html,Long Island Cocktail,Combine and mix all ingredients in a collins glass and serve.,http://www.drinksmixer.com/glasses/6/
36,Bartendr - drinks,Bartendr - drinks,36,http://www.drinksmixer.com/drink582.html,Mojito,Place mint leaves in bottom of glass. Add crushed ice Captain Morgan Original Spiced Rum sugar and lime juice and muddle. Add soda water and garnish with mint leaves. OO.ready(function() { OO.Player.create('ooyalaplayer' 'd1YWl3ODprVlIuHQpzgw2ONqfPZTex4c' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/13/
37,Bartendr - drinks,Bartendr - drinks,37,http://www.drinksmixer.com/drink1483.html,Boston Ice Tea,Build over ice. Stir. Garnish with lemon slice and a straw.,http://www.drinksmixer.com/glasses/8/
38,Bartendr - drinks,Bartendr - drinks,38,http://www.drinksmixer.com/drink3327.html,El Bastardo,Mix all at the same time into a blender. After blending for approx. 30 seconds fill beer mug 3/4 way and start a chugin'. Oh it'll burn like hell for about 2 minutes but once that sauce burns through your stomach lining and virtually injects the alcohol into your blood stream put the unfinished El Bastardo down because you're gonna hit the floor.,http://www.drinksmixer.com/glasses/1/
39,Bartendr - drinks,Bartendr - drinks,39,http://www.drinksmixer.com/drink12206.html,Orange Rumbler,Pour the Rumple Minze and Stolichnaya orange vodka into a highball glass filled with ice cubes. Fill with tonic water. Garnish with an orange or lime. Add splash of Grand Marnier if desired. Serve.,http://www.drinksmixer.com/glasses/8/
40,Bartendr - drinks,Bartendr - drinks,40,http://www.drinksmixer.com/drink9044.html,Deep Sea Sex,Pour all ingredients into a cocktail shaker half-filled with ice cubes. Shake well. Pour the contents into a highball glass and serve.,http://www.drinksmixer.com/glasses/8/
41,Bartendr - drinks,Bartendr - drinks,41,http://www.drinksmixer.com/drink736.html,Adios Mother,Add vodka gin white rum and blue curacao to an ice-filled hurricane glass. Fill the glass with equal parts sour mix and 7-Up garnish with a cherry and serve.,http://www.drinksmixer.com/glasses/9/
42,Bartendr - drinks,Bartendr - drinks,42,http://www.drinksmixer.com/drink2536.html,Twister,Pour vodka and juice of lime into a collins glass over several ice cubes. Fill with lemon-lime soda stir and serve.,http://www.drinksmixer.com/glasses/6/
43,Bartendr - drinks,Bartendr - drinks,43,http://www.drinksmixer.com/drink563.html,Blue Hawaiian Screw,Pour vodka and blue curacao into a large rocks or old-fashioned glass filled with ice. Fill with pineapple juice and serve.,http://www.drinksmixer.com/glasses/12/
44,Bartendr - drinks,Bartendr - drinks,44,http://www.drinksmixer.com/drink1385.html,Blue Hawaiian,Blend light rum blue curacao pineapple juice and cream of coconut with one cup ice in an electric blender at high speed. Pour contents into a highball glass. Decorate with the slice of pineapple and a cherry. OO.ready(function() { OO.Player.create('ooyalaplayer' 'FqeWh3ODo5YKdq-Ppv-8k7L8iTvV9sJ2' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/8/
45,Bartendr - drinks,Bartendr - drinks,45,http://www.drinksmixer.com/drink2632.html,Caipirinha,Muddle the sugar into the lime wedges in an old-fashioned glass. Fill the glass with ice cubes. Pour the cachaca into the glass. Stir well.,http://www.drinksmixer.com/glasses/12/
46,Bartendr - drinks,Bartendr - drinks,46,http://www.drinksmixer.com/drink3468.html,Fat Box,Mix ingredients in mixing glass with ice cubes. Shake and strain into a shot glass.,http://www.drinksmixer.com/glasses/18/
47,Bartendr - drinks,Bartendr - drinks,47,http://www.drinksmixer.com/drink3143.html,Deep South,Mix pineapple juice and molasses well either shake or blend stirring won't work. Pour into glass and drop rum on top but do not stir in. Splash on cherry syrup and garnish with a pineapple wedge or pineapple chunks. Serve slightly cooler than room temp or over ice.,http://www.drinksmixer.com/glasses/4/
48,Bartendr - drinks,Bartendr - drinks,48,http://www.drinksmixer.com/drink1504.html,French Martini,Pour each of the above into a tall bar glass. Shake with ice pour into a cocktail or martini glass and serve.,http://www.drinksmixer.com/glasses/4/
49,Bartendr - drinks,Bartendr - drinks,49,http://www.drinksmixer.com/drink6308.html,Raw Sewage,Mix ingredients together in a cocktail shaker. Shake strain into a highball glass and serve.,http://www.drinksmixer.com/glasses/8/
50,Bartendr - drinks,Bartendr - drinks,50,http://www.drinksmixer.com/drink9043.html,Deep Sea Martini,Stir all ingredients together in a mixing glass half-filled with cracked ice. Strain into a chilled cocktail glass and serve.,http://www.drinksmixer.com/glasses/4/
51,Bartendr - drinks,Bartendr - drinks,51,http://www.drinksmixer.com/drink569.html,Moody Blue,Pour above listed ingredients into a Collins glass filled with ice. Stir and serve,http://www.drinksmixer.com/glasses/6/
52,Bartendr - drinks,Bartendr - drinks,52,http://www.drinksmixer.com/drink3533.html,Flaming Jesse,Put all ingredients in a shaker with ice. Shake strain into a collins glass garnish with an orange slice and serve.,http://www.drinksmixer.com/glasses/6/
53,Bartendr - drinks,Bartendr - drinks,53,http://www.drinksmixer.com/drink1026.html,Baltimore Zoo,Add the liquors and grenadine to a highball glass with ice. Top off with sweet and sour mix add a splash of beer and stir.,http://www.drinksmixer.com/glasses/8/
54,Bartendr - drinks,Bartendr - drinks,54,http://www.drinksmixer.com/drink4773.html,Lava Flow,Blend banana coconut cream and pineapple juice in a blender and set aside. In the bottom of a hurricane glass stir together both rums and strawberries. Pour banana/coconut/pineapple mix slowly into the glass. The strawberry/rum mix should creep up the sides of the glass to make a wonderful looking (and tasting) summertime cocktail!,http://www.drinksmixer.com/glasses/9/
55,Bartendr - drinks,Bartendr - drinks,55,http://www.drinksmixer.com/drink820.html,Amaretto Sour,Pour the amaretto liqueur into a cocktail shaker half-filled with ice cubes. Add a splash or two of sweet and sour mix and shake well. Strain or pour into an old-fashioned glass garnish with a maraschino cherry and a slice of orange and serve. OO.ready(function() { OO.Player.create('ooyalaplayer' 'tmd2h3ODo43cx4Ucs44K7wHsUJBOEORH' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/12/
56,Bartendr - drinks,Bartendr - drinks,56,http://www.drinksmixer.com/drink2340.html,Tequila Sunrise,Pour tequila in a highball glass with ice and top with orange juice. Stir. Add grenadine by tilting glass and pouring grenadine down side by flipping the bottle vertically very quickly. The grenadine should go straight to the bottom and then rise up slowly through the drink. Garnish stirrer straw and cherry-orange.,http://www.drinksmixer.com/glasses/8/
57,Bartendr - drinks,Bartendr - drinks,57,http://www.drinksmixer.com/drink4304.html,Madras,Pour all ingredients (except lime wedge) into a highball glass over ice. Add the lime wedge and serve.,http://www.drinksmixer.com/glasses/8/
58,Bartendr - drinks,Bartendr - drinks,58,http://www.drinksmixer.com/drink4826.html,Wa-Hoo-Wa,Combine vodka and curacao in a collins glass over ice. Fill with orange juice. Stir and serve.,http://www.drinksmixer.com/glasses/6/
59,Bartendr - drinks,Bartendr - drinks,59,http://www.drinksmixer.com/drink307.html,Grateful Dead,Shake ingredients pour over ice in a collins glass and serve.,http://www.drinksmixer.com/glasses/6/
60,Bartendr - drinks,Bartendr - drinks,60,http://www.drinksmixer.com/drink10311.html,Luscious Lou,Pour the Stoli Ohranj (orange vodka) into a collins glass filled with ice cubes. Add the Cointreau orange juice and cranberry juice. Top off with club soda and serve.,http://www.drinksmixer.com/glasses/6/
61,Bartendr - drinks,Bartendr - drinks,61,http://www.drinksmixer.com/drink9041.html,Deep Blue Something,Mix the vodka peach schnapps and Red Bull together in a collins glass. Add a small amount of curacao until the mixture is a deep green. Add some ice and pour the remainder of the curacao down the side of the glass to leave a blue layer at the base of the glass.,http://www.drinksmixer.com/glasses/6/
62,Bartendr - drinks,Bartendr - drinks,62,http://www.drinksmixer.com/drink11.html,Walk Me Down (Sweet Jesus),Shake ingredients (except Sprite) together in a cocktail shaker half-filled with ice cubes. Add Sprite and stir. Strain into a hurricane glass over ice and serve.,http://www.drinksmixer.com/glasses/9/
63,Bartendr - drinks,Bartendr - drinks,63,http://www.drinksmixer.com/drink6298.html,Raspberry Long Island Ice Tea,Pour all ingredients over ice in a shaker and shake three to four times. Pour into a collins glass and garnish with a lemon wedge.,http://www.drinksmixer.com/glasses/6/
64,Bartendr - drinks,Bartendr - drinks,64,http://www.drinksmixer.com/drink3971.html,Green Demon,Shake vodka rum and liqueur and pour over ice in a highball glass. Fill with lemonade add the cherry on top and serve.,http://www.drinksmixer.com/glasses/8/
65,Bartendr - drinks,Bartendr - drinks,65,http://www.drinksmixer.com/drink665.html,Nuts and Berries,Pour ingredients into a stainless steel shaker over ice and shake until completely cold. Strain into a chilled stemmed or rocks glass filled with ice.,http://www.drinksmixer.com/glasses/12/
66,Bartendr - drinks,Bartendr - drinks,66,http://www.drinksmixer.com/drink2560.html,Yo Mama Cocktail,Pour vodka over ice in a highball glass. Add soda top with a splash of orange juice and serve.,http://www.drinksmixer.com/glasses/8/
67,Bartendr - drinks,Bartendr - drinks,67,http://www.drinksmixer.com/drink1124.html,Caribou Lou,Shake or serve up with ice in a highball glass. OO.ready(function() { OO.Player.create('ooyalaplayer' 'ExOWl3ODqiXa_bGhX4lLBp8ctujgk1U5' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/8/
68,Bartendr - drinks,Bartendr - drinks,68,http://www.drinksmixer.com/drink9042.html,Deep Sea Cocktail,Stir all ingredients together in a mixing glass half-filled with cracked ice. Strain into a cocktail glass and serve.,http://www.drinksmixer.com/glasses/4/
69,Bartendr - drinks,Bartendr - drinks,69,http://www.drinksmixer.com/drink9063.html,Dionisia,Pour all ingredients into a highball glass. Stir and serve.,http://www.drinksmixer.com/glasses/8/
70,Bartendr - drinks,Bartendr - drinks,70,http://www.drinksmixer.com/drink8824.html,Carrot Top Cocktail,Pour the Stoli orange vodka DeKuyper peach schnapps triple sec sour mix orange juice and grenadine into a collins glass half-filled with ice cubes. Stir well and serve.,http://www.drinksmixer.com/glasses/6/
71,Bartendr - drinks,Bartendr - drinks,71,http://www.drinksmixer.com/drink4469.html,Jack and Coke,Pour jack daniels into large glass filled with ice. Pour coca-cola into the glass. Stir lightly. OO.ready(function() { OO.Player.create('ooyalaplayer' 'g2M2x3ODpjBiwYwxY6zdpXxkrAzNXxDX' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/6/
